"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN",,,,,,,,,,,
"Stock - Categorywise - SlowMoving - Item 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
",,,,,,,,,,,
Item name,BRANDS,DEPARTMENT,CATEGORY,Branch,Item code,Total sold qty.,Item amount,Current stock,Branch ID,Business Type,State
,Farmina,Dog Food,Dry Food ,URBAN PETS / MOTERA,11466,1,"1,192.00",0,32772,BRANCH,Gujarat
N and D Tropical Chicken Adult Medium and Maxi 2 Kg,,,,,,1,"1,592.00",0,,,
,Farmina,Dog Food,Dry Food ,URBAN PETS / MOTERA,11465,1,"1,592.00",0,32772,BRANCH,Gujarat
Semolyte Gut Oral Powder sachet,,,,,,1,680.00,0,,,
,other,Medicine & Supplements ,Medicine ,URBAN PETS / MOTERA,11482,1,680.00,0,32772,BRANCH,Gujarat
Ivermac Injection 100ml,,,,,,1,735.00,0,,,
,other,Medicine & Supplements ,Medicine ,URBANPETS SERVICES PRIVATE LIMITED,11480,1,735.00,0,225,DISTRIBUTION CENTER,Gujarat
Canix Premium Heart Harness Black/Neon - S,,,,,,1,"1,275.00",0,,,
,CANIX,Walk Essentials,Harness ,URBANPETS SERVICES PRIVATE LIMITED,11580,1,"1,275.00",0,225,DISTRIBUTION CENTER,Gujarat
Canix Premium Heart Harness Black/Red - M,,,,,,1,"1,350.00",0,,,
,CANIX,Walk Essentials,Harness ,URBANPETS SERVICES PRIVATE LIMITED,11576,1,"1,350.00",0,225,DISTRIBUTION CENTER,Gujarat
Hydra Groomers Silky Smooth Shampoo 1 litre,,,,,,1,"1,480.00",0,,,
,Hydra  ,Grooming,Shampoo & Conditioner ,URBANPETS SERVICES PRIVATE LIMITED,11566,1,"1,480.00",0,225,DISTRIBUTION CENTER,Gujarat
vivaldis hypoallergenic 2 kg,,,,,,1,"1,575.00",0,,,
,Vivaldis,Dog Food,Prescription Food ,URBAN PETS / MOTERA,11536,1,"1,575.00",0,32772,BRANCH,Gujarat
M and K Starter Dog Food 12 Kg,,,,,,1,"6,879.20",0,,,
,M & K,Dog Food,Dry Food ,URBAN PETS / MOTERA,11530,1,"6,879.20",0,32772,BRANCH,Gujarat
Harmosa Bowl Small 14 cm,,,,,,1,204.00,0,,,
,Smartypet,Bowls & Water Bottle ,Bowl,URBANPETS SERVICES PRIVATE LIMITED,11620,1,204.00,0,225,DISTRIBUTION CENTER,Gujarat
Purepet Peak Tuna and Salmon  adult 1.2 kg,,,,,,1,186.75,0,,,
,Purepet,Cat Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,11608,1,186.75,0,225,DISTRIBUTION CENTER,Gujarat
Purepet Peak Real Chicken adult 1.2 kg,,,,,,1,211.65,0,,,
,Purepet,Cat Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,11606,1,211.65,0,225,DISTRIBUTION CENTER,Gujarat
Purepet Peak Ocean Fish adult 1.2 kg,,,,,,1,211.65,0,,,
,Purepet,Cat Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,11605,1,211.65,0,225,DISTRIBUTION CENTER,Gujarat
Canix Premium Heart Harness Leaf Printed Black - S,,,,,,1,"1,080.00",0,,,
,CANIX,Walk Essentials,Harness ,URBANPETS SERVICES PRIVATE LIMITED,11595,1,"1,080.00",0,225,DISTRIBUTION CENTER,Gujarat
Canix Premium Heart Harness Leaf Printed Blue - S,,,,,,1,"1,080.00",1,,,
,CANIX,Walk Essentials,Harness ,URBANPETS SERVICES PRIVATE LIMITED,11590,1,"1,080.00",1,225,DISTRIBUTION CENTER,Gujarat
Canix Premium Heart Harness Blue/Yellow - S,,,,,,1,"1,200.00",1,,,
,CANIX,Walk Essentials,Harness ,URBANPETS SERVICES PRIVATE LIMITED,11585,1,"1,200.00",1,225,DISTRIBUTION CENTER,Gujarat
Canix Premium Heart Harness Black/Neon - M,,,,,,1,"1,079.99",1,,,
,CANIX,Walk Essentials,Harness ,URBANPETS SERVICES PRIVATE LIMITED,11581,1,"1,079.99",1,225,DISTRIBUTION CENTER,Gujarat
Maxxtol injection 100 ml,,,,,,1,202.50,0,,,
,Medicines,Medicine & Supplements ,Medicine ,URBANPETS SERVICES PRIVATE LIMITED,11688,1,202.50,0,225,DISTRIBUTION CENTER,Gujarat
Fortivir Injection 100 ml,,,,,,1,0.05,0,,,
,Medicines,Medicine & Supplements ,Medicine ,URBANPETS SERVICES PRIVATE LIMITED,11686,1,0.05,0,225,DISTRIBUTION CENTER,Gujarat
Nexgard Spectra 7.5 kg -15 kg,,,,,,1,"2,475.00",0,,,
,Medicines,Medicine & Supplements ,Medicine ,URBANPETS SERVICES PRIVATE LIMITED,11684,1,"2,475.00",0,225,DISTRIBUTION CENTER,Gujarat
N and D treat weight management + denatl treat 60 gm,,,,,,1,269.10,0,,,
,Vet Life,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,11682,1,269.10,0,225,DISTRIBUTION CENTER,Gujarat
vet life treat obesity 60 gm,,,,,,1,269.10,0,,,
,Vet Life,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,11681,1,269.10,0,225,DISTRIBUTION CENTER,Gujarat
orijen biologically appropriate nutrition Kitten dry food -1.8 kg,,,,,,1,"3,329.10",0,,,
,Orijen,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,11679,1,"3,329.10",0,225,DISTRIBUTION CENTER,Gujarat
tartar control dental kit banana mint flavor,,,,,,1,460.00,0,,,
,Arm and Hammer,Grooming,Dental Care ,URBAN PETS / MOTERA,11674,1,460.00,0,32772,BRANCH,Gujarat
Arm and Hammer odor control pet spray kiwi blossom,,,,,,1,211.33,1,,,
,Arm and Hammer,Hygiene,Others ,URBAN PETS / MOTERA,11671,1,211.33,1,32772,BRANCH,Gujarat
Arm and Hammer Disposable Diapers xs - 12 pack,,,,,,1,637.50,0,,,
,Arm and Hammer,Hygiene,Diaper & Training Pads ,URBANPETS SERVICES PRIVATE LIMITED,11667,1,637.50,0,225,DISTRIBUTION CENTER,Gujarat
Arm and Hammer ultra fresh deep cleansing shampoo for dogs,,,,,,1,807.49,0,,,
,Arm and Hammer,Grooming,Shampoo & Conditioner ,URBANPETS SERVICES PRIVATE LIMITED,11665,1,807.49,0,225,DISTRIBUTION CENTER,Gujarat
Arm and Hammer Shampoo plus conditioner cucumber mint,,,,,,1,488.75,0,,,
,Arm and Hammer,Grooming,Shampoo & Conditioner ,URBAN PETS / MOTERA,11659,1,488.75,0,32772,BRANCH,Gujarat
sheba maguro selection  240 gm,,,,,,2,740.60,0,,,
,Sheba,Cat Food,Treats  ,URBAN PETS / MOTERA,11647,1,423.20,0,32772,BRANCH,Gujarat
,Sheba,Cat Food,Treats  ,URBANPETS SERVICES PRIVATE LIMITED,11647,1,317.40,0,225,DISTRIBUTION CENTER,Gujarat
sheba sasami selection  240 gm,,,,,,1,934.15,0,,,
,Sheba,Cat Food,Treats  ,URBANPETS SERVICES PRIVATE LIMITED,11646,1,934.15,0,225,DISTRIBUTION CENTER,Gujarat
Small Breed Leash Harness Double Padding - XL,,,,,,1,315.00,1,,,
,Smartypet,Walk Essentials,Harness & Leash Set ,URBAN PETS / MOTERA,11635,1,315.00,1,32772,BRANCH,Gujarat
Small Breed Leash Harness Double Padding - Large,,,,,,1,280.00,1,,,
