"Purchase Return Summary 
 DATE : from 01-04-2024 14-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
View,PR No,Branch No,PR date,PR amount,Code,Supplier Name,Reason,Gross amount,Tax amount,Item discount,LR No,Addl. Edu cess %,LR Date,Bill discount amount,Freight,Branch ID,Branch Name,Branch prefix,Rounded off,Service tax amt,Addl. Tax amount,Addl. Edu cess amount,Edu cess amount,GST Cess Amt,CGST TaxAmt,GST TaxAmt,IGST TaxAmt,SGST TaxAmt,Currency,ERP code
,62,36,2026-01-23,"6,660.00",32661,VIRBAC ANIMAL HEALTH INDIA PRIVATE LIMITED,.,"6,660.00",0.00,0.00,0,0,2026-01-23,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,507.96,"1,015.92",0.00,507.96,INDIAN RUPEE,urbanpets
,63,37,2026-01-23,"3,960.00",32846,MAHIMA SALES,dinesh ,"3,960.01",0.00,0.00,0,0,2026-01-23,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,-0.01,0.00,0.00,0.00,0.00,0.00,302.03,604.06,0.00,302.03,INDIAN RUPEE,urbanpets
,64,38,2026-01-24,339.00,32718,INTAS PHARMACEUTICALS LIMITED,dinesh ,339.00,0.00,0.00,0,0,2026-01-24,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,8.07,16.14,0.00,8.07,INDIAN RUPEE,urbanpets
,65,39,2026-01-24,595.00,32686,Geeta Pharma,dinesh,495.60,0.00,140.00,0,0,2026-01-24,0.00,100.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,-0.60,0.00,0.00,0.00,0.00,0.00,37.80,75.60,0.00,37.80,INDIAN RUPEE,urbanpets
,66,40,2026-01-28,312.06,32723,SAVA HEALTHCARE LIMITED,dinesh ,312.06,0.00,146.38,0,0,2026-01-28,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.86,14.86,0.00,INDIAN RUPEE,urbanpets
,67,30,2026-01-29,"1,148.00",32666,AKSHAJ DISTRIBUTORS,dhruvi ,"1,148.18",0.00,84.61,0,0,2026-01-29,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.18,0.00,0.00,0.00,0.00,0.00,87.57,175.14,0.00,87.57,INDIAN RUPEE,
,68,41,2026-01-29,425.26,32723,SAVA HEALTHCARE LIMITED,"
",425.26,0.00,173.57,0,0,2026-01-29,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.25,20.25,0.00,INDIAN RUPEE,urbanpets
,69,42,2026-03-11,641.00,32850,MAHIMA ENTERPRISE,.,640.50,0.00,0.00,0,0,2026-03-11,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.50,0.00,0.00,0.00,0.00,0.00,15.25,30.50,0.00,15.25,INDIAN RUPEE,urbanpets
,70,43,2026-02-22,"3,548.79",32710,Shreeji Pet Shop,DINESH ,"3,548.79",0.00,0.00,0,0,2026-03-25,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,250.09,500.18,0.00,250.09,INDIAN RUPEE,urbanpets
,71,44,2026-04-01,"1,488.00",35982,Vet Grow Animal Heath Care,DINESH ,"1,487.79",0.00,74.58,0,0,2026-04-03,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.21,0.00,0.00,0.00,0.00,0.00,35.42,70.84,0.00,35.42,INDIAN RUPEE,urbanpets
,72,45,2026-04-07,"2,294.97",32710,Shreeji Pet Shop,DINESH ,"2,294.97",0.00,0.00,0,0,2026-04-11,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,54.64,109.28,0.00,54.64,INDIAN RUPEE,urbanpets
,73,46,2026-04-07,"6,727.64",32710,Shreeji Pet Shop,DINESH ,"6,727.64",0.00,0.00,0,0,2026-04-11,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,160.18,320.36,0.00,160.18,INDIAN RUPEE,urbanpets
,74,47,2026-04-11,999.01,32710,Shreeji Pet Shop,DINESH,999.01,0.00,0.00,0,0,2026-04-11,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,76.20,152.40,0.00,76.20,INDIAN RUPEE,urbanpets
,76,31,2026-05-09,"15,703.00",33964,GNV Commodities Pvt Ltd  (Maharashra),DINESH ,"15,703.44",0.00,0.00,0,0,2026-05-09,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.44,0.00,0.00,0.00,0.00,0.00,0.00,"2,395.44","2,395.44",0.00,INDIAN RUPEE,
,77,49,2026-04-30,691.00,32850,MAHIMA ENTERPRISE,DINESH,690.80,0.00,0.00,0,0,2026-05-12,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.20,0.00,0.00,0.00,0.00,0.00,16.45,32.90,0.00,16.45,INDIAN RUPEE,urbanpets
,78,50,2026-05-25,"6,458.00",36924,EARTH PAWS PRIVATE LIMITED,dinesh ,"6,458.30",0.00,0.00,0,0,2026-05-25,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,-0.30,0.00,0.00,0.00,0.00,0.00,492.58,985.16,0.00,492.58,INDIAN RUPEE,urbanpets
,79,51,2026-05-26,"2,866.00",32846,MAHIMA SALES,.,"2,865.59",0.00,0.00,0,0,2026-05-26,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.41,0.00,0.00,0.00,0.00,0.00,218.56,437.12,0.00,218.56,INDIAN RUPEE,urbanpets
,80,32,2026-07-30,"8,495.29",32679,Jay Projects,"pr
return","8,495.29",0.00,799.93,0,0,2026-07-30,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.00,0.00,0.00,0.00,0.00,0.00,647.95,"1,295.90",0.00,647.95,INDIAN RUPEE,
,81,52,2026-08-05,"18,216.02",32661,VIRBAC ANIMAL HEALTH INDIA PRIVATE LIMITED,dinesh ,"18,216.02",0.00,0.00,0,0,2026-08-09,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,"1,389.35","2,778.70",0.00,"1,389.35",INDIAN RUPEE,urbanpets
,82,53,2026-08-06,"7,249.00",33149,J.J. PARIKH PHARMA PVT LTD ZOETIS,DINESH ,"7,249.30",0.00,140.90,0,0,2026-08-14,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,-0.30,0.00,0.00,0.00,0.00,0.00,172.60,345.20,0.00,172.60,INDIAN RUPEE,urbanpets
,83,54,2026-08-12,"2,900.00",33149,J.J. PARIKH PHARMA PVT LTD ZOETIS,PURCHASE DINESH COUNT DINESH,"2,899.72",0.00,56.36,0,0,2026-08-14,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.28,0.00,0.00,0.00,0.00,0.00,69.04,138.08,0.00,69.04,INDIAN RUPEE,urbanpets
,84,55,2026-08-26,"1,980.00",32846,MAHIMA SALES,DINESH ,"1,980.00",0.00,0.00,0,0,2026-08-26,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,151.02,302.04,0.00,151.02,INDIAN RUPEE,urbanpets
